league;season:Integer;position:Integer;team;points:Integer;played:Integer;won:Integer;drawn:Integer;lost:Integer;goalsFor:Integer;goalsAgainst:Integer;goalsDifference:Double;maxPoints:Integer
Ligue 1;2014;1;Paris Saint-Germain;83;38;24;11;3;83;36;47.0;96
Ligue 1;2014;2;Olympique lyonnais;75;38;22;9;7;72;33;39.0;96
Ligue 1;2014;3;AS Monaco FC;71;38;20;11;7;51;26;25.0;96
Ligue 1;2014;4;Olympique de Marseille;69;38;21;6;11;76;42;34.0;96
Ligue 1;2014;5;AS Saint-Étienne;69;38;19;12;7;51;30;21.0;96
Ligue 1;2014;6;FC Girondins de Bordeaux;63;38;17;12;9;47;44;3.0;96
Ligue 1;2014;7;Montpellier HSC;56;38;16;8;14;46;39;7.0;96
Ligue 1;2014;8;Lille OSC;56;38;16;8;14;43;42;1.0;96
Ligue 1;2014;9;Stade rennais FC;50;38;13;11;14;35;42;-7.0;96
Ligue 1;2014;10;EA Guingamp;49;38;15;4;19;41;55;-14.0;96
Ligue 1;2014;11;OGC Nice;48;38;13;9;16;44;53;-9.0;96
Ligue 1;2014;12;SC Bastia;47;38;12;11;15;37;46;-9.0;96
Ligue 1;2014;13;SM Caen;46;38;12;10;16;54;55;-1.0;96
Ligue 1;2014;14;FC Nantes;45;38;11;12;15;29;40;-11.0;96
Ligue 1;2014;15;Stade de Reims;44;38;12;8;18;47;66;-19.0;96
Ligue 1;2014;16;FC Lorient;43;38;12;7;19;44;50;-6.0;96
Ligue 1;2014;17;Toulouse FC;42;38;12;6;20;43;64;-21.0;96
Ligue 1;2014;18;Évian Thonon Gaillard FC;37;38;11;4;23;41;62;-21.0;96
Ligue 1;2014;19;FC Metz;30;38;7;9;22;31;61;-30.0;96
Ligue 1;2014;20;RC Lens;29;38;7;8;23;32;61;-29.0;96
Ligue 1;2015;1;Paris Saint-Germain;96;38;30;6;2;102;19;83.0;96
Ligue 1;2015;2;Olympique lyonnais;65;38;19;8;11;67;43;24.0;96
Ligue 1;2015;3;AS Monaco;65;38;17;14;7;57;50;7.0;96
Ligue 1;2015;4;OGC Nice;63;38;18;9;11;58;41;17.0;96
Ligue 1;2015;5;Lille OSC;60;38;15;15;8;39;27;12.0;96
Ligue 1;2015;6;AS Saint-Étienne;58;38;17;7;14;42;37;5.0;96
Ligue 1;2015;7;SM Caen;54;38;16;6;16;39;52;-13.0;96
Ligue 1;2015;8;Stade rennais FC;52;38;13;13;12;52;54;-2.0;96
Ligue 1;2015;9;Angers SCO;50;38;13;11;14;40;38;2.0;96
Ligue 1;2015;10;SC Bastia;50;38;14;8;16;36;42;-6.0;96
Ligue 1;2015;11;Girondins de Bordeaux;50;38;12;14;12;50;57;-7.0;96
Ligue 1;2015;12;Montpellier HSC;49;38;14;7;17;49;47;2.0;96
Ligue 1;2015;13;Olympique de Marseille;48;38;10;18;10;48;42;6.0;96
Ligue 1;2015;14;FC Nantes;48;38;12;12;14;33;43;-10.0;96
Ligue 1;2015;15;FC Lorient;46;38;11;13;14;47;58;-11.0;96
Ligue 1;2015;16;EA Guingamp;44;38;11;11;15;45;53;-8.0;96
Ligue 1;2015;17;Toulouse FC;40;38;9;13;16;45;55;-10.0;96
Ligue 1;2015;18;Stade de Reims;39;38;10;9;19;44;57;-13.0;96
Ligue 1;2015;19;GFC Ajaccio;37;38;8;13;17;37;58;-21.0;96
Ligue 1;2015;20;ES Troyes AC;18;38;3;9;26;28;83;-55.0;96
Ligue 1;2016;1;AS Monaco;95;38;30;5;3;107;31;76.0;96
Ligue 1;2016;2;Paris Saint-Germain;87;38;27;6;5;83;27;56.0;96
Ligue 1;2016;3;OGC Nice;78;38;22;12;4;63;36;27.0;96
Ligue 1;2016;4;Olympique lyonnais;67;38;21;4;13;77;48;29.0;96
Ligue 1;2016;5;Olympique de Marseille;62;38;17;11;10;57;41;16.0;96
Ligue 1;2016;6;Girondins de Bordeaux;59;38;15;14;9;53;43;10.0;96
Ligue 1;2016;7;FC Nantes;51;38;14;9;15;40;54;-14.0;96
Ligue 1;2016;8;AS Saint-Étienne;50;38;12;14;12;41;42;-1.0;96
Ligue 1;2016;9;Stade rennais FC;50;38;12;14;12;36;42;-6.0;96
Ligue 1;2016;10;EA Guingamp;50;38;14;8;16;46;53;-7.0;96
Ligue 1;2016;11;Lille OSC;46;38;13;7;18;40;47;-7.0;96
Ligue 1;2016;12;Angers SCO;46;38;13;7;18;40;49;-9.0;96
Ligue 1;2016;13;Toulouse FC;44;38;10;14;14;37;41;-4.0;96
Ligue 1;2016;14;FC Metz;43;38;11;10;17;39;72;-33.0;96
Ligue 1;2016;15;Montpellier HSC;39;38;10;9;19;48;66;-18.0;96
Ligue 1;2016;16;Dijon FCO;37;38;8;13;17;46;58;-12.0;96
Ligue 1;2016;17;SM Caen;37;38;10;7;21;36;65;-29.0;96
Ligue 1;2016;18;FC Lorient;36;38;10;6;22;44;70;-26.0;96
Ligue 1;2016;19;AS Nancy-Lorraine;35;38;9;8;21;29;52;-23.0;96
Ligue 1;2016;20;SC Bastia;34;38;8;10;20;29;54;-25.0;96
Ligue 1;2017;1;Paris Saint-Germain;93;38;29;6;3;108;29;79.0;96
Ligue 1;2017;2;AS Monaco;80;38;24;8;6;85;45;40.0;96
Ligue 1;2017;3;Olympique lyonnais;78;38;23;9;6;87;43;44.0;96
Ligue 1;2017;4;Olympique de Marseille;77;38;22;11;5;80;47;33.0;96
Ligue 1;2017;5;Stade rennais FC;58;38;16;10;12;50;44;6.0;96
