dt_frais;montant;path_justificatif;description;type_frais
13/06/2018;62.61;C74B7B0342293093729C4C9A15F0CE4B8.png;"Déplacement chez le client Société Générale pour le premier jour de mission, suite à un arrêt de la ligne A entre la défense et Auber
Trajet Uber Defense - Auber
le reste du trajet a été accompli via RER A";Kilométriques
13/06/2018;62.61;C74B7B0342293093729C4C9A15F0CE4B8.png;"Déplacement chez le client Société Générale pour le premier jour de mission, suite à un arrêt de la ligne A entre la défense et Auber
Trajet Uber Defense - Auber
le reste du trajet a été accompli via RER A";Deplacement
13/06/2018;62.61;C74B7B0342293093729C4C9A15F0CE4B8.png;"Déplacement chez le client Société Générale pour le premier jour de mission, suite à un arrêt de la ligne A entre la défense et Auber
Trajet Uber Defense - Auber
le reste du trajet a été accompli via RER A";Hébergement
13/06/2018;62.61;C74B7B0342293093729C4C9A15F0CE4B8.png;"Déplacement chez le client Société Générale pour le premier jour de mission, suite à un arrêt de la ligne A entre la défense et Auber
Trajet Uber Defense - Auber
le reste du trajet a été accompli via RER A";Restaurant
13/06/2018;62.61;C74B7B0342293093729C4C9A15F0CE4B8.png;"Déplacement chez le client Société Générale pour le premier jour de mission, suite à un arrêt de la ligne A entre la défense et Auber
Trajet Uber Defense - Auber
le reste du trajet a été accompli via RER A";Téléphone
13/06/2018;62.61;C74B7B0342293093729C4C9A15F0CE4B8.png;"Déplacement chez le client Société Générale pour le premier jour de mission, suite à un arrêt de la ligne A entre la défense et Auber
Trajet Uber Defense - Auber
le reste du trajet a été accompli via RER A";Timbre
13/06/2018;62.61;C74B7B0342293093729C4C9A15F0CE4B8.png;"Déplacement chez le client Société Générale pour le premier jour de mission, suite à un arrêt de la ligne A entre la défense et Auber
Trajet Uber Defense - Auber
le reste du trajet a été accompli via RER A";Fourniture 
13/06/2018;62.61;C74B7B0342293093729C4C9A15F0CE4B8.png;"Déplacement chez le client Société Générale pour le premier jour de mission, suite à un arrêt de la ligne A entre la défense et Auber
Trajet Uber Defense - Auber
le reste du trajet a été accompli via RER A";Autres
02/07/2018;23.8;F24CAB702ACC2EA151C3B1765DFB72378.JPG;Signature Avenant Akim BENFEDILA;Kilométriques
02/07/2018;23.8;F24CAB702ACC2EA151C3B1765DFB72378.JPG;Signature Avenant Akim BENFEDILA;Deplacement
02/07/2018;23.8;F24CAB702ACC2EA151C3B1765DFB72378.JPG;Signature Avenant Akim BENFEDILA;Hébergement
02/07/2018;23.8;F24CAB702ACC2EA151C3B1765DFB72378.JPG;Signature Avenant Akim BENFEDILA;Restaurant
02/07/2018;23.8;F24CAB702ACC2EA151C3B1765DFB72378.JPG;Signature Avenant Akim BENFEDILA;Téléphone
02/07/2018;23.8;F24CAB702ACC2EA151C3B1765DFB72378.JPG;Signature Avenant Akim BENFEDILA;Timbre
02/07/2018;23.8;F24CAB702ACC2EA151C3B1765DFB72378.JPG;Signature Avenant Akim BENFEDILA;Fourniture 
02/07/2018;23.8;F24CAB702ACC2EA151C3B1765DFB72378.JPG;Signature Avenant Akim BENFEDILA;Autres
26/06/2018;40.8;6E726C336C0397FB359C95200A96A21C .JPG;RV  avec MAHIOUT Signature feuilles d'émargements formation gestion de projet;Kilométriques
26/06/2018;40.8;6E726C336C0397FB359C95200A96A21C .JPG;RV  avec MAHIOUT Signature feuilles d'émargements formation gestion de projet;Deplacement
26/06/2018;40.8;6E726C336C0397FB359C95200A96A21C .JPG;RV  avec MAHIOUT Signature feuilles d'émargements formation gestion de projet;Hébergement
26/06/2018;40.8;6E726C336C0397FB359C95200A96A21C .JPG;RV  avec MAHIOUT Signature feuilles d'émargements formation gestion de projet;Restaurant
26/06/2018;40.8;6E726C336C0397FB359C95200A96A21C .JPG;RV  avec MAHIOUT Signature feuilles d'émargements formation gestion de projet;Téléphone
26/06/2018;40.8;6E726C336C0397FB359C95200A96A21C .JPG;RV  avec MAHIOUT Signature feuilles d'émargements formation gestion de projet;Timbre
26/06/2018;40.8;6E726C336C0397FB359C95200A96A21C .JPG;RV  avec MAHIOUT Signature feuilles d'émargements formation gestion de projet;Fourniture 
26/06/2018;40.8;6E726C336C0397FB359C95200A96A21C .JPG;RV  avec MAHIOUT Signature feuilles d'émargements formation gestion de projet;Autres
23/07/2018;65;F9E4E5FB65E8DA6710B222F411EAA2DE .JPG;"RV avec Assirem Loualia pour un CDI,
Opportunité client chez Sanofi";Kilométriques
23/07/2018;65;F9E4E5FB65E8DA6710B222F411EAA2DE .JPG;"RV avec Assirem Loualia pour un CDI,
Opportunité client chez Sanofi";Deplacement
23/07/2018;65;F9E4E5FB65E8DA6710B222F411EAA2DE .JPG;"RV avec Assirem Loualia pour un CDI,
Opportunité client chez Sanofi";Hébergement
23/07/2018;65;F9E4E5FB65E8DA6710B222F411EAA2DE .JPG;"RV avec Assirem Loualia pour un CDI,
Opportunité client chez Sanofi";Restaurant
23/07/2018;65;F9E4E5FB65E8DA6710B222F411EAA2DE .JPG;"RV avec Assirem Loualia pour un CDI,
Opportunité client chez Sanofi";Téléphone
23/07/2018;65;F9E4E5FB65E8DA6710B222F411EAA2DE .JPG;"RV avec Assirem Loualia pour un CDI,
Opportunité client chez Sanofi";Timbre
23/07/2018;65;F9E4E5FB65E8DA6710B222F411EAA2DE .JPG;"RV avec Assirem Loualia pour un CDI,
Opportunité client chez Sanofi";Fourniture 
23/07/2018;65;F9E4E5FB65E8DA6710B222F411EAA2DE .JPG;"RV avec Assirem Loualia pour un CDI,
Opportunité client chez Sanofi";Autres
